SIREN,NIC,ENSEIGNE
354063810,64,
354063810,64,
377496294,10,
377496294,10,
377517057,57,TSG
377517057,65,
377587688,39,
377587688,47,
377863295,53,PIZZA NINO
378107627,10,
378107627,28,
378116446,14,
378128342,45,
378181317,33,
378181317,33,
378198139,73,
378209621,10,
378226906,14,
378226906,14,
378226906,22,
378226906,22,
378239974,991,
378314686,49,
378497499,46,
378497499,53,
378552236,77,
378552236,85,
378562862,11,
378668305,22,
378668305,30,
378700173,16,
378784805,12,
378823744,57,
378933766,16,
378933766,24,
378957013,30,
378957013,30,LA FERME DES CRETES
379000102,10,
379000102,10,
379000102,36,
379000102,36,
379000102,51,
379000102,51,
379000102,69,
379000102,69,
379103138,28,
379140304,21,
379264419,35,
379337512,48,
379346174,12,
379388812,24,
379495377,36,
379577398,58,
379718828,13,
379718828,13,
379731771,26,
379731771,26,
379779812,13,
380041061,25,
380041061,25,
380129866,38394,AGENCE
380129866,39137,AGENCE COMMERCIALE
380129866,43790,BOUTIQUE
380177196,33,
380442673,14,
380477752,48,
380477752,48,
380581447,22,
380622332,6727,
380630665,46,
380707331,19,
380893149,19,
380893149,19,
380972752,14,
380999474,14,
380999474,14,
381074806,13,
381074806,13,
381122829,17,
381122829,25,
381230929,30,
381230929,30,
381254994,19,
381301290,23,
381381276,66,
381383827,15,
381383827,15,
381455161,12,
381548486,20,
381554112,56,
381554112,64,
381699248,39,
381699248,47,
381708312,32,LA CASA
381760537,39,
381760537,47,
381898329,28,
382059806,77,
382072007,42,
382103182,12,
382111433,43,
382111433,43,
382185114,40,
382197804,34,
382197804,34,
382230977,37,
382236214,153,
382366094,29,
382366094,37,
382427961,18,
382501310,25,
382597821,703,
382689925,16,
382720043,35,
382737195,59,
382737195,59,
382927408,15,
382927408,23,
383037512,50,CAROLINE SERVICES A DOMICILE
383084472,26,
383246493,19,
383322831,58,
383322831,66,
383544319,56,
383601663,40,
383857638,19,
383915642,11,
383915642,11,
383933231,11,
383933231,11,
384083374,31,SIMON
384083374,49,
384215059,70,
384414009,58,
384414009,58,
384532818,42,
384544706,11,
384544706,11,
384619094,20,
384619094,38,
384667333,23,
384680286,18,
384680286,26,
384684262,163,SADA DEVELOPPEMENT
384701520,23,
384701520,23,
384756284,46,
384786737,39,
384786737,39,
384852562,14,
384852562,14,
385011614,42,
385019765,28,
385087218,41,AIN CARRELAGE
385087218,41,AIN CARRELAGE
385135033,20,
385146212,19,
385233556,13,
385269832,15,
385277462,29,
385307590,54,
385307590,62,
385309943,12,
385309943,12,
387450612,65,
387450612,81,
387455553,17,
387455553,17,
387475759,24,
387561640,13,
387561640,21,
387580541,36,LE REPERE DES P'TITS PIEDS
387625775,37,
387681745,31,A.MAX. ELECTRICITE
387692213,45,
387692213,45,
387755465,11,
387890312,37,
387890312,37,
387944226,43,
387957319,40,
387957319,73,
387986904,10,
388071953,11,
388071953,11,
388071953,29,LE JAZZ BAR
388076473,56,
388202160,31,
388258972,32,STEPROLL
388301582,85,
388301582,85,
388311417,41,
388311417,41,
388346884,17,
388378077,27,
388378077,27,
388399289,15,
388562811,25,
388562811,25,
388702789,24,
388731333,26,I D M M
388731333,26,I D M M
388799959,50,
388799959,50,
388801870,14,
388801870,14,
388873911,19,
388873911,27,
388965972,424,
388965972,424,
389000597,119,
389113226,28,
389113226,36,
389145400,39,
389269879,34,
389358706,23,
389358706,23,
389358706,49,
389358706,49,
389491861,24,
389491861,32,
389613092,11,
389813932,16,
389813932,24,
389841818,13,
389841818,21,
389841818,21,
389875477,41,LES BIOS D'ORIENT
389875477,58,
389901935,38,
389929191,36,
389929191,44,
389995630,16,
389995630,16,
390056885,10,
390139756,48,
390299741,12,
390315851,35,
390373124,44,
390373124,51,
390387884,21,
390456572,77,MARIE LANDREAU
390456572,77,MARIE LANDREAU
390461911,13,
390461911,21,
390476422,30,
390476422,30,
390478568,12,
390478568,12,
390478568,20,
390478568,20,
390504462,24,PONEY CLUB DES ECURIES DE JOUY
390504462,32,
390520682,19,
390520682,27,
390600252,55,MORGAN  CHAUSS
390634756,14,
390634756,14,
390634756,89,L.I.P. 42 TOULOUSE
390859312,30,
390859312,48,
390917664,42,MUTUALITE FRANCAISE RHONE ALPES
391015377,16,
391026499,98,
391184876,61,
391190303,19,
391197019,14,
391197019,14,
391238268,18,O.M.S. OPTIQUE MESURE SERVICE
391307899,32,
391307899,32,
391466141,28,
391466141,28,
391493954,13,
391493954,13,
391498011,25,
391498011,25,
391562071,12,
391562881,30,
391640513,35,
391747250,10,
391747250,10,
391969094,815,
392054052,15,L'OASIS-SAINT-TROPEZ
392054052,23,CHEZ LA THAILANDAISE SAINT TROPEZ
392054052,31,CHEZ LA THAILANDAISE SAINT TROPEZ
392133369,18,
392133369,18,
392258182,63,
392284824,35,BUENAVISTA
392284824,43,RENO'ALPS
392303301,31,
392303301,31,
392349635,53,
392452603,13,
392452603,13,
392487641,38,
392581732,30,
392584322,37,
392584322,45,
392596276,23,
392645065,21,
392645065,39,
392712410,27,
392772067,48,
392772067,48,
392798138,47,
392798138,54,
392798138,54,
392798138,62,
392859575,12,
393040753,39,
393040753,39,
393302732,28,
393367115,10,
393367115,10,
393434253,67,
393434253,75,
393486469,58,
393486469,74,
393533997,101,
393554050,20,
393660840,25,
393660840,25,
393768890,21,
393936786,10,
393945738,28,
393945738,28,
393946470,27,
394078968,36,
394078968,36,
394115398,49,
394142954,145,
394174007,44,
394174007,51,
394300271,35,
394369193,54,
394369193,54,
394369193,62,
394369193,62,
394369193,70,
394369193,70,
394369193,96,
394369193,96,
394369193,104,
394369193,112,
394369193,112,
394369193,120,
394396485,10,
394431993,44,
394431993,51,
394437453,68,
394437453,76,
394462006,13,
394586317,23,
394593974,30,
394593974,30,
394593974,48,
394593974,55,
394594493,22,
394721054,28,
394785414,19,
394785414,19,
394848881,22,
394848881,30,
395131014,56,
395201205,14,
395201205,14,
395268444,27,
395293178,53,
395301344,10,
395401581,32,
395401581,81,
395401581,81,
395401581,99,
397433020,88,
397433020,104,
397439449,26,
397439449,34,
397763756,20,
397763756,38,PONT L'EVEQUE DEMENAGEMENT
397763756,38,PONT L'EVEQUE DEMENAGEMENT
397763756,46,PONT L'EVEQUE DEMENAGEMENT
397763756,53,PONT L'EVEQUE DEMENAGEMENT
397777269,51,
397777269,69,
398055889,40,
398082925,31,
398110445,4988,OKAIDI
398162461,14,
398224220,44,
398227934,39,
398227934,39,
398277202,147,
398398107,19,
398417527,23,
398417527,23,
398456087,38,
398520759,42,
398530063,39,JUMPARC
398552984,21,AUTOUR D UNE HISTOIRE
398598904,33,
398657320,63,
398657320,71,
398659342,16,
398682799,34,
398804344,24,
398804344,24,
398804344,32,
398846089,33,GRAND CAFE L'AVENTURE
398846089,41,
398846089,41,
398888594,15,
399025832,37,
399025832,37,
399025832,45,
399025832,52,
399030998,62,
399030998,70,
399079631,12,
399288539,14,
399292572,19,
399292572,19,
399308907,19,
399351311,10,
399351311,10,
399403575,42,MELINE BROC
399403575,59,LE PTIT B'ART
399403575,59,LE PTIT B'ART
399452010,16,
399452010,32,
399466747,25,
399466747,33,
399497585,55,OENOVA
399497585,63,
399497585,63,
399497585,71,
399523844,13,
399539444,14,
399539444,14,
399600113,167,
399600113,175,
399600113,183,
399600113,191,
399636844,41,
399689389,35,
399689389,35,
399706217,11,
399706217,29,
399820323,18,
399820323,18,
399888387,20,
399914753,21,
400336269,24,
400336269,24,
400476065,18,
400476065,18,
400476065,34,
400486486,48,
400486486,48,
400513685,18,
400514238,15,
400561247,18,
400583118,31,
400583118,49,
400594479,59,
400594479,59,"""CHEZ HAS"""
400597019,27,P'TIT GRIGNOTTE
400656526,29,
400819439,52,
400819439,60,
400952933,28,
400974077,36,
401008222,36,
401014634,18,
401014634,26,
401058227,18,
401058227,26,
401289756,17,
401496054,40,
401629936,55,
401629936,55,
401652334,12,
401676242,19,
401676242,35,
401726781,65,CMONPREMIER
401807870,43,
401816210,74,GROUPE AXXESS
401917117,38,
401917117,46,
401949060,24,
402049159,39,
402049159,39,
402060321,13,
402236574,32,
402273452,27,
402286488,59,
402308985,553,CREA CONCEPT
402343800,49,
402343800,49,
402699896,39,
402834477,26,
402834477,34,
402841563,24,
402841563,24,
402961379,37,
402961379,45,
402968630,28,
403028327,35,POILS AUX PAT'
403028327,35,SANDRO CAVE
403041270,22,
403041270,22,
403213200,13,
403239114,16,
403256712,49,
403328693,45,
403328693,52,
403329824,37,A VOTRE SERVICE
403329824,37,A VOTRE SERVICE
403383706,54,
403450737,24,CHEZ MICHELE
403517469,25,
403584824,29,
403584824,29,
403618101,48,
403618101,55,
403675143,57,
403675143,57,
403676646,58,MASSEUR KINESITHERAPEUTE
403687296,18,
403823115,15,
403823115,15,
403871627,10,
403880438,11,
404014268,19,
404184723,41,
404184723,58,
404246514,32,
404287617,25,
404297996,13,
404449233,18,
404449233,26,
404450934,17,
404486052,65,
404486052,81,
404496325,14,
404496325,22,
404664716,36,
404817033,16,
404824872,18,
404824872,26,
404824872,26,
404874547,15,
404878928,54,
404930547,33,
404930547,116,
404930547,116,
404970162,16,
405043944,17,
407544030,23,
407544030,23,
407559632,69,
407559632,77,
407614189,14,
407774181,41,
407790328,55,
407790328,63,
407809235,10,
407892181,63,
407892181,71,
408190445,28,
408190445,28,
408217511,42,
408262012,11,
408535458,17,
408551687,28,
408565703,68,
408565703,84,
408630812,27,
408630812,27,
408693240,25,
408752806,13,
408752806,21,
409083292,30,
409128782,29,
409128782,29,AUTO PIECES 62
409225877,52,
409286457,26,
409286457,26,
409286457,34,
409286457,42,
409448321,52,
409714268,102,
409871878,16,
409871878,16,
409898293,25,
409898293,25,
409920634,22,
409965241,30,
410001911,32,
410001911,40,
410109730,11,
410109730,11,
410266308,15,
410266308,23,
410294904,33,
410294904,41,
410314876,286,
410366066,26,
410366066,34,
410388763,22,
410440507,11,
410440507,29,
410440903,12,
410440903,20,
410656854,24,
410656854,32,
410656854,32,
410683254,255,
410784193,22,LA GRANGE AUX PAINS
410804579,10,
410804579,10,
410874770,10,
410874770,28,
410897334,26,
410897334,34,
410912232,31,
410918932,63,
